asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B0DV5H3S16,"Bose SoundLink Flex (2nd Gen) Portable Wireless Bluetooth Speaker Small Powerful for Outdoor Parties, Up to 12H Runtime, IP67 Waterproof and Dustproof, Twilight Blue",Bose,14490,(14% off),4.6,10K,Audio,https://www.amazon.in/dp/B0DV5H3S16,bluetooth speakers
B09NCF1LPY,"JBL Go Essential with Rich Base, Wireless Ultra Portable Bluetooth Speaker, Vibrant Colors, Waterproof, Type C (Without Mic, Blue)",JBL,1899,(37% off),4.7,10.2K,Audio,https://www.amazon.in/dp/B09NCF1LPY,bluetooth speakers
B0G3VV1122,Digimore Partybox 80W Portable Karaoke Bluetooth Speaker with Wireless Mic | Dual Boom Box Speaker | RGB Party Lights | Deep Bass Sound | Type-C Charging | USB/TF/AUX | for Home & Parties (D-1342),Digimore,3999,(73% off),4.5,39,Audio,https://www.amazon.in/dp/B0G3VV1122,bluetooth speakers
B0BMXMBSH9,MZ M412SP (Portable Bluetooth Speaker) Dynamic Thunder Sound with High Bass 5 W Bluetooth Speaker 1200mAh Battery,MZ,344,(66% off),3.5,52,Audio,https://www.amazon.in/dp/B0BMXMBSH9,bluetooth speakers
B0F7HVC62G,"Bose SoundLink Plus Portable Bluetooth Speaker, Wireless Outdoor Speaker, Up to 20 Hours Battery Life, Waterproof and Dustproof, Black",Bose,29900,(6% off),4.7,726,Audio,https://www.amazon.in/dp/B0F7HVC62G,bluetooth speakers
B0BLNMXT67,"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",amazon,699,(53% off),4.0,5.6K,Audio,https://www.amazon.in/dp/B0BLNMXT67,bluetooth speakers
B0DN1S27NM,"ZEBRONICS AXON 200 Portable Party Bluetooth Speaker, 180W RMS, 5 Drivers + 2 Passive Radiators, Z-Sync Mode, IPX6, Upto 10 Hours Playback, Rapid Charging, BT | USB | AUX, Fabric Finish, RGB, Deep Bass",ZEBRONICS,9999,(60% off),4.0,1K,Audio,https://www.amazon.in/dp/B0DN1S27NM,bluetooth speakers
B0B4BBNQ89,"INVICTO A0005 Bass Splashproof Wireless Bluetooth Speaker with USB | Mic | Aux | SD Card for All Laptop, Tablet & Smartphone (Assorted Colour)",INVICTO,410,(32% off),4.1,25,Audio,https://www.amazon.in/dp/B0B4BBNQ89,bluetooth speakers
B0F9TMXDQ2,"HAMMER Boom 30W Bluetooth Speaker with RGB Lights, Dual Passive Radiators, TWS Function, Type-C Charging, Multi-Connectivity (AUX/USB/TF/Bluetooth), Built-in Mic, Upto 30H Playtime, Carry Handle Blue",HAMMER,2199,(63% off),4.3,106,Audio,https://www.amazon.in/dp/B0F9TMXDQ2,bluetooth speakers
B0FMGXH38Q,"JBL Grip Wireless Portable Bluetooth Speaker, JBL Pro Sound with AI Sound Boost, IP68 Waterproof/Dustproof, Ambient Light, Upto 14H Playtime, Auracast Multi-Speaker Connection, JBL Portable App, Black",JBL,8499,(43% off),4.6,446,Audio,https://www.amazon.in/dp/B0FMGXH38Q,bluetooth speakers
