asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic,cluster,segment
B0G39NBZJ5,lava probuds wave 931 wireless anc neckband silver grey  30db anc  13mm drivers  40h playtime  fast charge  enc mic  dual device connectivity,lava,7.170119543449628,63.0,3.9,4.007333185232471,audio,https://www.amazon.in/dp/B0G39NBZJ5,neckband,0.0030023094688221,earbuds,0,1,0,High Rated
B092XFT8TP,boat rockerz 330 inear bluetooth neckband with upto 30 hours playtime asap charge signature sound dual pairing  ipx5 with mic teal green,boat,6.907755278982137,60.0,4.1,11.51293546492023,audio,https://www.amazon.in/dp/B092XFT8TP,neckband,0.0041041041041041,neckband,0,1,1,Popular
B0G48M3KXD,boat rockerz 200 40h battery signature sound enx tech dual pairing 60 ms low latency ipx5 asap charge magnetic buds bluetooth neckband wireless with mic earphones active black,boat,6.802394763324311,64.0,4.0,3.4965075614664802,audio,https://www.amazon.in/dp/B0G48M3KXD,neckband,0.0044493882091212,earbuds,0,1,0,High Rated
B0DXL4VP54,philips tan1150bk94 wireless neckband with 60 hr playtime fast charging 13mm deep bass drivers ai enc mic multipoint connectivity bluetooth v53 ipx5 water resistance deep black,philips,6.745236349484363,58.0,3.4,5.993961427306569,audio,https://www.amazon.in/dp/B0DXL4VP54,neckband,0.0040047114252061,neckband,0,1,1,Popular
B0FN4NM85Q,goboult newly launched fcharge bluetooth earphones with 40h playtime zen enc mic dual device connectivity type c fast charging142mm bass driver made in india ipx5 pure black,goboult,6.802394763324311,82.0,3.9,6.4692503167957724,audio,https://www.amazon.in/dp/B0FN4NM85Q,neckband,0.0043381535038932,earphones,0,1,1,Popular
B0FQ1N7MHQ,portronics harmonics y2 in ear bluetooth neckband with upto 70 hours playtime  in line hd mic dual pairing gamingmusic mode low latency bluetooth version 54v type c fast chargingblack,portronics,6.620073206530356,63.0,4.2,4.532599493153256,audio,https://www.amazon.in/dp/B0FQ1N7MHQ,neckband,0.005607476635514,neckband,0,1,0,High Rated
B0CL2M9D81,ptron tangentbeat in ear bluetooth 50 wireless headphones with hd mic deep bass clear calls dual device pairing wireless neckband fast charging voice assistant  ipx4 water resistantgreengrey,ptron,6.309918278226516,78.0,3.8,11.286037411751035,audio,https://www.amazon.in/dp/B0CL2M9D81,neckband,0.0069216757741347,neckband,0,1,1,Popular
B0FZC9RN72,ptron tangent rush w 50hrs playtime pristine sound dualdevice pairing bluetooth 54 wireless inear earphones with mic voice assistant typec fast charging  ipx5 water resistant jet black,ptron,6.210600077024653,72.0,3.7,6.616065185132817,audio,https://www.amazon.in/dp/B0FZC9RN72,neckband,0.0074446680080482,earphones,0,1,1,Popular
B0DWXQC8RS,ooge tune 15 wireless neckband black bluetooth 53 typec fast charging 2500h standby magnetic earbuds deep bass audio lightweight  comfortable fit sweatproof inear headphones,ooge,5.703782474656201,80.0,3.8,6.834108738813838,audio,https://www.amazon.in/dp/B0DWXQC8RS,neckband,0.0127090301003344,earbuds,0,0,1,Popular
B0F3897HZK,neckband bluetooth earphones with 10mm driversabove 20 hours playtime type c fast charging neckband earphones with voice assistantblue,neckband,5.703782474656201,70.0,3.6,4.543294782270004,audio,https://www.amazon.in/dp/B0F3897HZK,neckband,0.0120401337792642,neckband,0,0,1,Popular
B0BJF85YRR,portronics harmonics z5 wireless bluetooth stereo headset with 33hrs playtime double eq mode 142 mm dynamic drivers click action buttonsblue,portronics,6.476972362889683,74.0,4.0,7.244941546337007,audio,https://www.amazon.in/dp/B0BJF85YRR,neckband,0.0061633281972265,headphones,0,0,1,Popular
B0DH4PGF11,crossbeats shuffl ai anc neckband bluetooth headphones dual device pairing  ai enc mic  120hrs playback  typec wireless ear buds40ms low latency gaming mode in ear earphones  bt v54 black,crossbeats,7.438383530044307,66.0,3.7,7.550135342488429,audio,https://www.amazon.in/dp/B0DH4PGF11,neckband,0.0021777516185991,earbuds,0,1,1,Popular
B0GNSXPHZY,neackband for realmebuds wireless 5 anc in ear bluetooth headphones50db anc 136mm dynamic bass driver360 spatial audio45ms low latencyupto 38hrs playbackip55 midnight black,neackband,7.24422751560335,50.0,1.0,0.6931471805599453,audio,https://www.amazon.in/dp/B0GNSXPHZY,neckband,0.0007147962830593,earbuds,0,0,3,Low Rated
B0G64XMDHY,neckband bluetooth headphones with 20hrs playtime enx clear voice calls 10mm driver type c charging voice assistant bluetooth neckband headphone  blue,neckband,5.641907070938114,72.0,3.7,2.772588722239781,audio,https://www.amazon.in/dp/B0G64XMDHY,neckband,0.0131672597864768,neckband,0,0,0,High Rated
B0FX2M8SVQ,neckband bluetooth headphones bluetooth 54 wireless headphone with retractable earbudcvc80 noise cancelling 16hrs playtime around the neck headphones stereo headset for music conference videos,neckband,8.861633597686627,61.0,4.2,3.6888794541139363,audio,https://www.amazon.in/dp/B0FX2M8SVQ,neckband,0.0005953224663359,earbuds,0,0,2,Premium
